,Unnamed: 0.1.1,author,review,rating,date,scores_vader,compound_vader,score_vader,polarity_textblob,subjectivity_textblob,score_textblob
0,1,shamir akmad,"UI is \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb, and I love the setup of the Lyrics in every song, it is absolutely amazing! While Podcasts is not included I would say that the tunes and the palylists are fantastic. Suits me just fine. However it might be useful if a feature to hide songs (in a playlist) that were not downloaded will b...\nFull Review",Rated 4 stars out of five stars,06-Apr-20,"{'neg': 0.025, 'neu': 0.725, 'pos': 0.25, 'compound': 0.945}",0.945,Positive,0.473333333,0.58,Positive
1,3,Caity Moore,"This used to be a 5 star for me, but Ive had nothing but trouble since the last update. (I use android) I had to delete my recently added playlist, because it was adding every single song I listened to, whether I downloaded it or not. My normal playlists got all mixed up, and music that I downloade...\nFull Review",Rated 1 stars out of five stars,10-Apr-20,"{'neg': 0.0, 'neu': 0.947, 'pos': 0.053, 'compound': 0.438}",0.438,Positive,-0.020238095,0.271825397,Negative
2,5,Emily,"Usually works fairly well. However, I have experienced a number of issues. (I use the Android app version). First of all, sometimes when I add a song to a playlist, it adds a completely different song from my library to that playlist, and I have to sign out and back in again to resolve the issue, wh...\nFull Review",Rated 2 stars out of five stars,07-Apr-20,"{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.6124}",0.6124,Positive,0.25,0.497222222,Positive
3,7,Nadia Peralta,I regret updating it to get dark theme. Now it keeps cutting out through the songs. That never happened before. Very upset that it sounds this way! Edit: I realized that the cutting off happens when using Bluetooth. If they can fix this then I will change my rating. Edit 2: It doesnt cut off when u...\nFull Review,Rated 4 stars out of five stars,06-Apr-20,"{'neg': 0.148, 'neu': 0.822, 'pos': 0.03, 'compound': -0.7328}",-0.7328,Negative,-0.275,0.625,Negative
4,9,Super Z-Fresh,"I cant believe this is made by apple because it is one of the worst apps Ive ever used. It is constantly buggy. For example, sometimes when I add songs to a playlist, it adds the wrong song completely so I have to add songs to my playlists from my computer which isnt always possible. I am disappo...\nFull Review",Rated 1 stars out of five stars,10-Apr-20,"{'neg': 0.122, 'neu': 0.878, 'pos': 0.0, 'compound': -0.802}",-0.802,Negative,-0.28,0.726666667,Negative
5,11,Israel Bermudez,I dont know what you guys are doing in regards to the sounds quality. But the sound quality is leaps and bounds ahead of spotifys even with spotify set for maximum quality. I cant wait for a beta spot to open up. Highly impressed by the sound. The UI could use some work but its not the worse.,Rated 5 stars out of five stars,10-Apr-20,"{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.6734}",0.6734,Positive,0.28,0.58,Positive
6,13,Jan Makuc,App is good but not great (as it is on an iPhone) but still... it works. The only problem is that when you download your music it adds the album a few days later than the song. You can listen to the song but you cant check its album if youre offline. Overall Im satisfied with the app. I love the ...\nFull Review,Rated 5 stars out of five stars,04-Apr-20,"{'neg': 0.128, 'neu': 0.722, 'pos': 0.15, 'compound': 0.4037}",0.4037,Positive,0.1375,0.50625,Positive
7,15,Liam Oates,"It worked great for about a year and then a couple days ago, everything stopped working, I cant play my downloaded music, I cant stream music, I cant play radio stations, only on my Google pixel though, my laptop and iPhone work great with apple music still, but my pixel is my primary device and ...\nFull Review",Rated 3 stars out of five stars,03-Apr-20,"{'neg': 0.079, 'neu': 0.831, 'pos': 0.09, 'compound': 0.3847}",0.3847,Positive,0.5,0.75,Positive
8,17,Jack Daniels,This app pales in comparison to the iOS version. Its glitchy and inconsistent. When you tap a song you have to wait for what feels like 10 seconds+ sometimes. On iOS its instant Album art and even their names often take long to load up and you cant even see the number of songs on a playlist or th...\nFull Review,Rated 1 stars out of five stars,09-Apr-20,"{'neg': 0.0, 'neu': 0.936, 'pos': 0.064, 'compound': 0.4215}",0.4215,Positive,-0.025,0.533333333,Negative
9,19,ordinary dude,"Bugs. Bugs are everywhere, you literally have to restart the application each time you want to do something. Disgusting. Unusable. Terrible. Checking the lyrics almost always leads app to no longer be able to show you your library. Player in application randomly disappears time after time. Interface...\nFull Review",Rated 1 stars out of five stars,05-Apr-20,"{'neg': 0.2, 'neu': 0.776, 'pos': 0.023, 'compound': -0.8689}",-0.8689,Negative,-0.5,0.78125,Negative
10,21,Arinelly,"It\s pretty okay overall and I haven\t had any problems with anything until recently, I tried playing specific songs in my playlist but instead it skipped a bunch of songs saying this content is not authorized even though I was able to listen to it before! 3 stars are taken off for that as it says...\nFull Review",Rated 2 stars out of five stars,07-Apr-20,"{'neg': 0.034, 'neu': 0.871, 'pos': 0.095, 'compound': 0.3382}",0.3382,Positive,0.229166667,0.416666667,Positive
11,23,Kassidy Knight,I like apple music but it plays the wrong songs. Of I go into lyrics and look at the words the words are totally different from the song and the song thats playing isnt even the song that is supposed to be playing. Ive restarted Ive done everything I can think of and nothing works.,Rated 3 stars out of five stars,07-Apr-20,"{'neg': 0.069, 'neu': 0.786, 'pos': 0.145, 'compound': 0.3612}",0.3612,Positive,-0.25,0.75,Negative
12,25,Jazmine Decker,Has EVERY song Ive ever searched for. 9/10 songs have follow along lyrics. Lose your place? Click on the words & itll rewind.. Has radio stations. Custom suggestions.. Play it in the background. Lock your screen.. Lost phone? Its all good just log in on your new one & your music & playlist will b...\nFull Review,Rated 5 stars out of five stars,09-Apr-20,"{'neg': 0.084, 'neu': 0.821, 'pos': 0.095, 'compound': 0.168}",0.168,Positive,0.418181818,0.527272727,Positive
13,27,Tazzmanian Devill,"Im changing my 5 stars to 3 stars coz after so long,ther is still no option to sort music playlist according to alphabets for example in my playlists edit. Do you know how much how a hassle it was to drag songs according to alphabets if you have over 1000 songs and the song that we want to drag beg...\nFull Review",Rated 3 stars out of five stars,03-Apr-20,"{'neg': 0.098, 'neu': 0.881, 'pos': 0.021, 'compound': -0.5719}",-0.5719,Negative,0,0.113888889,Negative
14,29,JNZ,Ive tryed about 10 times just to set up a apple Id for nothing because everytime I did it didnt work and if I had an apple Id with Verizon it would be free but you can still bye the app without version and with out an apple Id but it would be better the other way. Over all it was just the process ...\nFull Review,Rated 4 stars out of five stars,09-Apr-20,"{'neg': 0.0, 'neu': 0.91, 'pos': 0.09, 'compound': 0.7184}",0.7184,Positive,0.258333333,0.558333333,Positive
15,31,Ricky Milne,"**Mar update 2 - hit and miss but sometimes works now!** Voice commands no longer work, particularly annoying when using with android auto. Asking to play a song results in the app searching but not actually playing. Rolling back to an earlier version works fine 2.9.0 (814). Not all artists/albums a...\nFull Review",Rated 4 stars out of five stars,05-Apr-20,"{'neg': 0.175, 'neu': 0.734, 'pos': 0.09, 'compound': -0.6085}",-0.6085,Negative,-0.076666667,0.4,Negative
16,33,Daniel,"The worst service for music discovery. Super slow search bar. Missing important Metallica albums from the Israeli library. No daily mixes nor flow kind of daily playlists, only suggestion for albums which I dont find very useful for me. No automatic download for songs added to library. The whole R...\nFull Review",Rated 1 stars out of five stars,07-Apr-20,"{'neg': 0.215, 'neu': 0.693, 'pos': 0.092, 'compound': -0.7665}",-0.7665,Negative,0.038484848,0.492424242,Positive
17,35,Gino Barnes,"All music is good, but EVERY TOME I try to use a pic for a playlist, it never works! Please fix this! If this didnt happen, it would be a 5 star review, but its not! Please fix this. I have a Moto e5 play Android. Thanks!",Rated 3 stars out of five stars,05-Apr-20,"{'neg': 0.098, 'neu': 0.701, 'pos': 0.202, 'compound': 0.7337}",0.7337,Positive,0.625,0.4,Positive
18,37,MaryAnn,"Tried twice to verify email code, had to get out of the freakin app to look at my email because I DONT HAVE A COMPUTER, and once I do, instead of continuing on and letting me put in the code, (LIKE EVERY SINGLE OTHER APP THAT DOES NOT CLOSE OUT, ESPECIALLY WHEN REQUIRING A FREAKIN CODE, AND HAS WOR...\nFull Review",Rated 1 stars out of five stars,03-Apr-20,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Negative,-0.06547619,0.529761905,Negative
19,39,JaZzIe BaBiE,I used to have this on 5 star but starting today its not playing certain songs. It just skips until it finds a song to play. I dont know why its doing this all of the sudden but Im probably going to cancel membership because of this.,Rated 2 stars out of five stars,09-Apr-20,"{'neg': 0.136, 'neu': 0.801, 'pos': 0.064, 'compound': -0.363}",-0.363,Negative,0.071428571,0.39047619,Positive
20,41,Nikko Jaugan,Some bugs songs starts on by itself when i leave that app on pause. Doesnt let me choose the exact song in the album i have to play the first track then skip a few times. When i listen to the song sometimes the song will change on its own to the last album I play.,Rated 2 stars out of five stars,05-Apr-20,"{'neg': 0.022, 'neu': 0.889, 'pos': 0.089, 'compound': 0.5574}",0.5574,Positive,0.18,0.35,Positive
21,43,Alexander Brock Swims,"Really needs a few basic features like sorting playlists, download all for songs/genres/etc, and saving purchased music files directly to the phone (if I bought them why shouldnt I be able to have them locally on the phone? Would be great for making ringtones and such for example).",Rated 4 stars out of five stars,10-Apr-20,"{'neg': 0.0, 'neu': 0.867, 'pos': 0.133, 'compound': 0.765}",0.765,Positive,0.175,0.3375,Positive
22,45,Ryan Hanewich,"Works just as expected; however, the app still lacks gapless playback, something present in its iOS counterpart. As someone who enjoys listening to albums with smooth transtions between songs, fixing this would greatly enhance the listening experience.",Rated 4 stars out of five stars,06-Apr-20,"{'neg': 0.0, 'neu': 0.916, 'pos': 0.084, 'compound': 0.5106}",0.5106,Positive,0.275,0.4125,Positive
23,47,Jsan,Can not play an album i want to listen to or playlist..it will go thru entire playlist ot album and not 1 song played...uninstalled/installed 3 times..still does not work..what am i paying for to watch it go thru entire list and not a song played...fix it!!!...going on for 4 days.,Rated 1 stars out of five stars,07-Apr-20,"{'neg': 0.063, 'neu': 0.909, 'pos': 0.028, 'compound': -0.3843}",-0.3843,Negative,0,0.625,Negative
24,49,Dominick Sterling,Terrible . Ever since this new update on the S10+ all the App is good for is crashing ..I mean every single time. Never had this problem before but now I have to delete and re install the app every time . And yess the phone is updated.,Rated 1 stars out of five stars,09-Apr-20,"{'neg': 0.086, 'neu': 0.874, 'pos': 0.041, 'compound': -0.2875}",-0.2875,Negative,-0.109512987,0.591266234,Negative
25,51,Kate Beckman,"Absolutely terrible! My yoga teacher is using it for a playlist so i had to sign up to hear music at home. Long wait times between every page, took forever to sign up and still not working correctly. Ugh!!!",Rated 1 stars out of five stars,04-Apr-20,"{'neg': 0.109, 'neu': 0.835, 'pos': 0.056, 'compound': -0.4988}",-0.4988,Negative,-0.548828125,0.7,Negative
26,53,Aman Patidar14,"I used love using apple music.. But after updates.. It getting slower and slower.. Even lyrics arent flow smooth sometimes.. And it feels more bad after you pay for it and cant receive proper service, songs take too long in loading (online)",Rated 3 stars out of five stars,04-Apr-20,"{'neg': 0.11, 'neu': 0.802, 'pos': 0.089, 'compound': 0.0018}",0.0018,Positive,0.108333333,0.461111111,Positive
27,55,Chris Shelby,"Gets the job done, but does have various bugs including when listening to downloaded music when theres no service Im unable to choose a song by choice and forced to shuffle. Playlist will restart or bug out sometimes rarely.",Rated 3 stars out of five stars,08-Apr-20,"{'neg': 0.159, 'neu': 0.841, 'pos': 0.0, 'compound': -0.7783}",-0.7783,Negative,-0.125,0.525,Negative
28,57,Sunshine,"The new update is messing things up as in not playing any music, music skipping through all tracks without playing anything and not being able to download any music as well. I have a Samsung Galaxy S7.",Rated 1 stars out of five stars,03-Apr-20,"{'neg': 0.085, 'neu': 0.858, 'pos': 0.056, 'compound': -0.0217}",-0.0217,Negative,0.318181818,0.539772727,Positive
29,59,azabe shaloom,I love it. Except where it suddenly moods up and refuses to download songs. Hastle of unstalling and reinstalling again. Also could you look into getting us albums that match our ones or so instead of random ones that are a hit?,Rated 4 stars out of five stars,06-Apr-20,"{'neg': 0.0, 'neu': 0.903, 'pos': 0.097, 'compound': 0.6369}",0.6369,Positive,0,0.533333333,Negative
30,61,Paul Androe Salceda,"Please fix the bug when using this app offline: when we click a song, it doesnt play immediately. Were going to wait for minutes in order the song to be played.",Rated 3 stars out of five stars,04-Apr-20,"{'neg': 0.103, 'neu': 0.759, 'pos': 0.137, 'compound': 0.2878}",0.2878,Positive,0,0,Negative
31,63,T N,Having so many random issues like the next list repopulating even after Ive deleted them all one by one or not playing the song that Im clicking on. Now i cant even log back in. This thing is too glitchy.,Rated 2 stars out of five stars,03-Apr-20,"{'neg': 0.039, 'neu': 0.9, 'pos': 0.061, 'compound': 0.2283}",0.2283,Positive,0,0.25,Negative
32,65,chinazo azike,"After my 3 month trial which I really enjoyed, apple music logged me out even after I updated my account details. I have forgotten my ID and i tried to get it back but still to no avail.",Rated 3 stars out of five stars,09-Apr-20,"{'neg': 0.116, 'neu': 0.821, 'pos': 0.063, 'compound': -0.2391}",-0.2391,Negative,0.25,0.35,Positive
33,67,Josue vazquez martinez,If you download music and you go to the album doesnt allow you to play it you have to look for it with the rest of the songs. Also the app itself is very slow when you are looking through the library.,Rated 1 stars out of five stars,10-Apr-20,"{'neg': 0.038, 'neu': 0.908, 'pos': 0.054, 'compound': 0.1862}",0.1862,Positive,-0.39,0.52,Negative
34,69,abbreviatedalex,"I used an iPhone for years, so I was excited to see I could still use Apple Music if I switched to Android. Unfortunately, even setting aside the awful UI redesign, the app on Android is a glitchy mess. Every time I open the app, something goes wrong. Songs refuse to play, or skip halfway through. A...\nFull Review",Rated 2 stars out of five stars,23-Mar-20,"{'neg': 0.209, 'neu': 0.711, 'pos': 0.08, 'compound': -0.7976}",-0.7976,Negative,-0.3,0.720833333,Negative
35,71,Melissa Brown,As a previous customer of Apple Music I get an invite to start a free one months trial.I install the app having to go round and around in circles to reactivate my account. Only Apple Music doesnt work on this phone.So pointless.,Rated 1 stars out of five stars,04-Apr-20,"{'neg': 0.0, 'neu': 0.883, 'pos': 0.117, 'compound': 0.5994}",0.5994,Positive,-0.043333333,0.573333333,Negative
36,73,Abdumaliki S Abdullahi,"The new updated version crash every time and songs aint playing individually, I have to play the entire album in order to play just one song from it. Its really bad please fix it",Rated 1 stars out of five stars,06-Apr-20,"{'neg': 0.19, 'neu': 0.636, 'pos': 0.174, 'compound': -0.1795}",-0.1795,Negative,-0.140909091,0.53655303,Negative
37,75,Burnout Bros.,"I was using the Apple music app perfectly, but when I switched my account from one phone to another it stopped downloading music. This is really frustrating because I cant listen to music offline.",Rated 2 stars out of five stars,07-Apr-20,"{'neg': 0.221, 'neu': 0.711, 'pos': 0.068, 'compound': -0.6994}",-0.6994,Negative,0.3,0.95,Positive
38,77,Isabel P,Keeps skipping songs! It was working just fine then all of a sudden it wont load any songs and just goes through my library without playing anything. Fix this!!!!,Rated 1 stars out of five stars,03-Apr-20,"{'neg': 0.052, 'neu': 0.851, 'pos': 0.097, 'compound': 0.3348}",0.3348,Positive,0.208333333,0.5,Positive
39,79,tender Puppeteer,"Dear developers, let this app see music I had earlier on my devices. Most of those items csnt be played because it says its not avalaible in my country. But its already here and I want to add it to the player. When you use iPhone, you can actually synchronize all the data with all the media you p...\nFull Review",Rated 1 stars out of five stars,09-Apr-20,"{'neg': 0.0, 'neu': 0.897, 'pos': 0.103, 'compound': 0.6486}",0.6486,Positive,0.166666667,0.366666667,Positive
40,81,Gustavo Hernandez Minetti,Has this app been tested properly? I tried to manage my subscriptions and it does not work at all. I get an undefined error on my galaxy s10. Perhaps apple should hire more testers next time.,Rated 1 stars out of five stars,04-Apr-20,"{'neg': 0.076, 'neu': 0.924, 'pos': 0.0, 'compound': -0.4019}",-0.4019,Negative,0.166666667,0.2,Positive
41,83,Tyler Howell,"The 3 month trial baited me in, and boy am I glad it did because the Interface and music library are perfect. Simple, without lacking any essential features",Rated 5 stars out of five stars,08-Apr-20,"{'neg': 0.0, 'neu': 0.782, 'pos': 0.218, 'compound': 0.7717}",0.7717,Positive,0.375,0.664285714,Positive
42,85,Aakash Vats,"I used it for a long time now on my android phone. Everything is working fine except whenever I play, pause or skip song to any time of a track, I hear the notification sound from my phone. Its very very annoying, frustrating and irritating. Please help me out. It happened some 1 or 2 months ago(no...\nFull Review",Rated 3 stars out of five stars,15-Mar-20,"{'neg': 0.154, 'neu': 0.699, 'pos': 0.146, 'compound': -0.364}",-0.364,Negative,-0.172222222,0.666666667,Negative
43,87,Mary Mitchell,"Doesnt work well with my Galaxy S7. Maybe its because its an Apple product, Im not sure, but there is always a lag time when the first song plays. The app constantly freezes and has to restart. One thing I wish they could update is the search bar. Once I click the search icon, it should automati...\nFull Review",Rated 3 stars out of five stars,15-Mar-20,"{'neg': 0.115, 'neu': 0.788, 'pos': 0.097, 'compound': 0.2292}",0.2292,Positive,0,0.518518519,Negative
44,89,Aditya Baliga,Facing Billing issues. Keep getting mail saying Billing problem. I update payment methods every time. This issue keeps repeating and Im not able to subscribe.,Rated 2 stars out of five stars,05-Apr-20,"{'neg': 0.105, 'neu': 0.895, 'pos': 0.0, 'compound': -0.4019}",-0.4019,Negative,-0.25,0.625,Negative
45,91,Robert P. Ruddle Jr.,"Wont play mp3 tracks I own and stalls because it seems to be verifying my content. I own ( to this day, this company made me distrust digital content entirely ) hundreds of CDs I copied to my iMac taking nearly 500gb of drive space. Doesnt play content I purchased from the \xf0\x9f\x8d\x8e ripoff center. Though...\nFull Review",Rated 2 stars out of five stars,09-Apr-20,"{'neg': 0.125, 'neu': 0.875, 'pos': 0.0, 'compound': -0.707}",-0.707,Negative,0.2,0.520833333,Positive
46,93,Gareth Clarke,Bluetooth audio output considerably lower compared to the likes of SoundCloud and YouTube. Using Samsung Note 10+ on One ui 2.1 if that helps to fix bug. Please fix!,Rated 3 stars out of five stars,09-Apr-20,"{'neg': 0.07, 'neu': 0.705, 'pos': 0.225, 'compound': 0.6704}",0.6704,Positive,0.125,0.45,Positive
47,95,Michael,"It\s a decent port but it\s missing a key thing that\s keeping it from me rating it a 4 or 5 star app. After searching for an artist using the search function then pressing either albums or songs, you can\t shuffle all songs. I know you can just find the artist under artist and shuffle from th...\nFull Review",Rated 3 stars out of five stars,24-Mar-20,"{'neg': 0.052, 'neu': 0.948, 'pos': 0.0, 'compound': -0.4215}",-0.4215,Negative,-0.011111111,0.572222222,Negative
48,97,Daniel Bergl\xc3\xb8v,"Tried several times now, to setup an account. Two first times, it just popped up with a message saying, that an there was an error. I forced closed the application and tried again. This time, whenever I finish the setup with the email verification, it just starts the registration from scratch. Im d...\nFull Review",Rated 1 stars out of five stars,21-Mar-20,"{'neg': 0.104, 'neu': 0.896, 'pos': 0.0, 'compound': -0.6908}",-0.6908,Negative,-0.0375,0.158333333,Negative
49,99,Israel Ugboduma,"I cant access my library. It keeps telling me to load library. Anytime I want to add a song to my library, it keeps telling me This action is not available while your library is loading. \xf0\x9f\x98\xa9",Rated 2 stars out of five stars,06-Apr-20,"{'neg': 0.0, 'neu': 0.962, 'pos': 0.038, 'compound': 0.0772}",0.0772,Positive,-0.05,0.25,Negative
50,101,Ben Mastin,Absolutely pointless. Just does what it feels like and often wont download a full album unless you tell it to multiple times. Often just ignores certain button presses. Get used to the phrase Something went wrong. Try again later. Shuffle and repeat functions are obtusely placed. Cant queue up d...\nFull Review,Rated 1 stars out of five stars,12-Mar-20,"{'neg': 0.093, 'neu': 0.824, 'pos': 0.082, 'compound': -0.1531}",-0.1531,Negative,-0.030952381,0.420238095,Negative
51,103,Iker Ik,"Some bugs with songs getting added to the library but showing on the artists page as not added. Shuffle and repeat buttons are hidden instead of in the player. I like the Favourites list, but the discovery one is lacking A LOT. It should be like Spotify. For example, I like hearing music in differe...\nFull Review",Rated 2 stars out of five stars,12-Mar-20,"{'neg': 0.0, 'neu': 0.837, 'pos': 0.163, 'compound': 0.8674}",0.8674,Positive,-0.166666667,0.333333333,Negative
52,105,Doug Feng,"I have a smart playlist for any new song added recently to show up there. About 3 weeks ago, a bunch of songs that were once in my library years prior show up at the very top now (and they are no longer in my library - shows a + sign instead of the download) so it violates the smart rules set up. ...\nFull Review",Rated 1 stars out of five stars,25-Mar-20,"{'neg': 0.087, 'neu': 0.8, 'pos': 0.113, 'compound': 0.1815}",0.1815,Positive,0.202489177,0.44004329,Positive
53,107,John Simeon,"*****Feature Request***** Great app for music and the fact that its multi-platform is also a plus. Could we also have an option to: - Play on one device and continue on another. - See whats playing on other devices. - Play, Pause, Next, Previous the now playing from any other device. These feature...\nFull Review",Rated 4 stars out of five stars,28-Mar-20,"{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.8885}",0.8885,Positive,0.076666667,0.333333333,Positive
54,109,aditya arora,"It is fine. You can optimize it much more. And please when we click on the search icon, why do we have to click once again on the search bar for the keyboard to pop up. That does not make any sense. If I have clicked on the icon, that means I want to search a song/artist/album. I shouldnt have to c...\nFull Review",Rated 3 stars out of five stars,30-Mar-20,"{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.7832}",0.7832,Positive,0.458333333,0.5,Positive
